front_id,email,password,first_name,last_name
023H,teststudent023H@comp.mt,teststudentpw959426,Test Student,023H
024A,teststudent024A@comp.mt,teststudentpw323179,Test Student,024A
024B,teststudent024B@comp.mt,teststudentpw522950,Test Student,024B
024C,teststudent024C@comp.mt,teststudentpw189309,Test Student,024C
024D,teststudent024D@comp.mt,teststudentpw265173,Test Student,024D
024E,teststudent024E@comp.mt,teststudentpw136080,Test Student,024E
024F,teststudent024F@comp.mt,teststudentpw917296,Test Student,024F
024G,teststudent024G@comp.mt,teststudentpw353976,Test Student,024G
024H,teststudent024H@comp.mt,teststudentpw137624,Test Student,024H
025A,teststudent025A@comp.mt,teststudentpw695764,Test Student,025A
025B,teststudent025B@comp.mt,teststudentpw945752,Test Student,025B
025C,teststudent025C@comp.mt,teststudentpw607965,Test Student,025C
025D,teststudent025D@comp.mt,teststudentpw223994,Test Student,025D
025E,teststudent025E@comp.mt,teststudentpw297517,Test Student,025E
025F,teststudent025F@comp.mt,teststudentpw440607,Test Student,025F
025G,teststudent025G@comp.mt,teststudentpw355603,Test Student,025G
025H,teststudent025H@comp.mt,teststudentpw837195,Test Student,025H
